Year,Rank,TeamID,Team,Games,W,L,D,BA,ERA,WPCT,PS,oWAR,OPS,wRC+,R,pWAR_sum,FIP,WHIP,Total_RA,Pyth_WPCT
1999,3,SS,삼성 라이온즈,132,73,57,2,273,5.16,562,3,25.18,0.6301818181818182,61.53181818181818,748.0,20.6,5.468421052631579,1.7015789473684209,748.0,499.9999999995532
1999,4,HH,한화 이글스,132,72,58,2,283,4.88,554,1,27.31,0.62048,51.931999999999995,731.0,20.049999999999997,6.560555555555556,1.8072222222222223,701.0,520.940530063971
1999,5,WO,현대 유니콘스,132,68,59,5,272,4.47,535,0,21.36,0.7106923076923077,79.95384615384616,699.0,22.810000000000002,5.406000000000001,1.6720000000000002,642.0,542.4289354043036
1999,6,LG,LG 트윈스,132,61,70,1,281,5.49,466,0,23.66,0.6280869565217391,46.09130434782608,744.0,12.36,5.4708000000000006,1.5752000000000002,736.0,505.40524747222014
1999,7,HT,해태 타이거즈,132,60,69,3,278,5.21,465,0,29.99,0.7777916666666668,96.99166666666667,765.0,17.4,6.02125,1.55125,743.0,514.585755059454
1999,8,SK,쌍방울 레이더스,132,28,97,7,248,5.85,224,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,1,WO,현대 유니콘스,133,91,40,2,278,3.64,695,1,33.800000000000004,0.69908,71.54,777.0,29.580000000000002,3.671764705882353,1.4641176470588235,520.0,690.6635061865118
2000,2,OB,두산 베어스,133,76,57,0,289,4.22,571,2,30.25,0.6092272727272727,50.300000000000004,694.0,21.060000000000002,5.257894736842106,1.7573684210526317,616.0,559.3316393596047
2000,3,SS,삼성 라이온즈,133,69,59,5,269,4.64,539,3,25.23,0.6791904761904762,71.9047619047619,744.0,20.99,5.805789473684211,1.6736842105263159,670.0,552.1908630570409
2000,4,LG,LG 트윈스,133,67,63,3,273,4.45,515,3,25.169999999999998,0.7417407407407408,98.18518518518519,687.0,20.86,140.16260869565218,6.14304347826087,631.0,542.412053370712
2000,5,LT,롯데 자이언츠,133,65,64,4,260,4.02,504,4,13.67,0.5771851851851851,36.85925925925926,603.0,27.01,4.410555555555556,1.4183333333333334,579.0,520.2962009007365
2000,6,HT,해태 타이거즈,133,57,72,4,252,4.95,442,0,12.68,0.65428,69.81599999999999,588.0,16.07,5.401111111111111,1.6172222222222221,728.0,394.80752014279
